id;fecha;anio;mes;tipoprop;lugar;geoname_num;lat_lon;sup_tot_m2;sup_cub_m2;piso;cant_amb;des;tit;Pozo;Boleto;Unidades;Departamentos;Entrega;Inversor;Posesion;Cuotas;Anticipo;Estrenar;Emprendimiento;Resumen;Amenities;Cochera;Patio;Categoria;Balcon;Clase
1.578;2/29/16 0:00;2016;feb;dto;Palermo;3430234;-34.593894,-58.427814;;53;;1;Laura Avellaneda  CUCICBA 4054Contacto: Cecilia Chueque  MLS ID # 42057100943Estupendo Monoambiente a Estrenar en Palermo  ESCRITURA Y POSESION INMEDIATA Apto Profesional. Con Balcon Terraza al Frente. Cochera opcional cubierta de grandes dimensiones. Baj;MONOAMBIENTE A ESTRENAR C/TERRAZA ESCR. INMEDIATA;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0
1.647;3/31/15 0:00;2015;mar;dto;Boedo;3436003;-34.6259414669,-58.4202123931;69;46;1;2;VENTA 2 AMBIENTES BOEDO  Unidad dos ambientes con balcon y patio interno. Forma de pago: 30  Boleto (se puede abonar en cuotas, consultar), 25  a la posesion y saldo restante en 48 cuotas, ajustadas por C.A.C.  Posesion: septiembre 2016    EFEGE PROPIEDAD;DEPARTAMENTO EN VENTA;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0
1.686;9/2/15 0:00;2015;sep;dto;Villa Pueyrredon;3429703;-34.568937,-58.502755;;37;;1;Luis Varela  C.M.C.P.S.I 5527Contacto: Rosana Zamparini  MLS ID # 36110225EXCELENTE OPORTUNIDAD A ESTRENAR  SÃ_PER LUMINOSO  ESTA UNIDAD ES UN MONOAMBIENTE DIVIDIDO, CON BALCÃ“N.  EL DORMITORIO QUEDA CON VENTANAL CON SALIDA AL BALCÃ“N Y EL LIVING COMEDOR;MONOAMBIENTE DIVISIBLE CON BALCON. OPORTUNIDAD!;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1.717;1/21/16 0:00;2016;ene;PH;Villa Crespo;3427458;-34.595001,-58.45611;;60;3;2;Rebeca Stern   4824Contacto: Eliana Dosil  MLS ID # 4201011554PH en primer piso por escalera al fondo, muy luminoso. Ubicado a 5 cuadras de Av. Dorrego y Av. Corrientes.  3 ambientes con cocina incorporada y baÃ±o completo.  Terraza con parrilla, lavadero;3 AMB. C/TERRAZA, DEPOSITO Y LAVADERO-IMPERDIBLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.730;2/2/16 0:00;2016;feb;dto;Caballito;3435874;-34.608054178,-58.4549751703;113;87;;4;Muy buen departamento de 4 ambientes, living amplio con salida a un balcon, dormitorio con placard, cocina comedor, escritorio/habitacion de servicio, un baÃ±o con ducha y otra baÃ±o completo y baulera.La expensas incluyen Aysa y vigilancia nocturna, cuen;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1.746;12/24/15 0:00;2015;dic;dto;Villa Crespo;3427458;-34.5917692,-58.4393329;42;36;1;2;VENTA DE DEPARTAMENTO 2 AMBIENTES EN VILLA CRESPO Departamento de 2 ambientes al frente con balcon, unidad luminoso, comoda, lavadero independiente.  Muy buena ubicacion a 3 cuadras de Av. Corrientes y proximo a j.B.Justo. Se deja constancia que las medid;DEPARTAMENTO EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1.751;10/15/15 0:00;2015;oct;dto;Palermo;3430234;-34.5789897,-58.4014247;323;0;;5;Le parc Alcorta. Creo que eso dice todo.Una de las mejores torres de Buenos Aires.Amenities enserio Parece un hotel 5 ESTRELLASUbicacion super privilegiada y vistas alucinantes. El resto hay que verlo, la calidad, diseÃ±o, amplitud, etc.Solicita tu visita;Departamento en Palermo;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1.778;1/14/16 0:00;2016;ene;dto;Villa General Mitre;3427433;-34.627254,-58.46662;;224;4;4;Jorge Salafia  CUCICBA 5666Contacto: Raquel Nussbaum  MLS ID # 42021100983GRAN LIVING GRAN COMEDOR3  DORMITORIOS amplios HABITACION DE SERVCIO 1 BAÃ‘O 1 TOILETTEGRAN COCINALAVADERO  INDEPENDIENTEimpecable luminosotodo externo pequeÃ±a terraza,BALCONES;VENTA IMPECABLE-3DORM+HABIT SERVICIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1.780;6/17/15 0:00;2015;jun;dto;Saavedra;3429422;-34.55501885,-58.4838174041;65;65;3;3;CÃ“MODO 3 AMBIENTES. COCINA Y LAVADERO INDEPENDIENTE. CON BAULERA. BALCÃ“N FRANCÃ‰S. EXCELENTE UBICACIÃ“N. SOBRE AVENIDA. A DOS CUADRAS DE ESTACIÃ“N DE FFCC SAAVEDRA.    ADDARIO INMOBILIARIA S.R.L.;DEPARTAMENTO EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.827;9/2/15 0:00;2015;sep;dto;Boca;3436004;-34.628422,-58.36419;56;56;;3;Formando parte del Barrio Catalinas Sur: caracterizado por sus amplios y cuidados espacios verdes y su valorada localizacion geografica. Edificio localizado en la esquina de las calles Necochea y Gualeguay: permitiendo rapido Acceso desde / hacia la aveni;Departamento - 3 Ambientes - Catalinas Sur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.881;8/10/15 0:00;2015;ago;casa;Palermo;3430234;-34.5902118,-58.4343662;0;150;;4;Excelente ubicacionCasa en el barrio de Palermo , de dos plantas con terraza Tres dormitorios: dos en planta baja cada uno con su baÃ±o y un tercer dormitorio en la terraza con baÃ±oLote de 8.66 x 17.85 mtrs La propiedad posee dos consultorios , con baÃ±o;Hermosa Casa en Palermo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.899;2/26/16 0:00;2016;feb;dto;Balvanera;6693228;-34.61027,-58.402483;;83;17;2;Hernan Perrone   2792Contacto: NÃ©stor Farkas  MLS ID # 15113912Departamento de 3 ambientes + 2 baÃ±os completos + entrepisos. Primer piso por escalera. 83 metros totales cubiertos. Edificio de 1930. Remodelado por sus dueÃ±os actuales. Aberturas original;Departamento de estilo 3 ambientes + entrepisos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.953;5/23/14 0:00;2014;may;casa;Flores;3433918;-34.6417637,-58.462864;90;90;;;CODIGO:  ubicado en: Av.Lafuente   Publicado por: RR INMOBILIARIAARGENTINA. El precio es de USD 175000. Excelente casa en muy buen estado de conservacion  90 m2 , cerca Avda y plaza vs colectivos, garage bÃ±o completo toilette , comoda cocina   . Publicad;Casa en Esquina Todo Externo!!!!! garage ,toilette, baÃ±o completo 2 dormitorios amplios ,altillo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.960;7/3/15 0:00;2015;jul;dto;Palermo Hollywood;;-34.5818847634,-58.4413334535;86;75;6;3;EXCELENTE SEMIPISO DE 3 AMBIENTES AL FRENTE CON BALCÃ“N CORRIDO  86 m2 totales, Todo externo y luminoso, Hall de entrada, Amplio living comedor, dormitorio principal e/suite c/vestidor y puerta balcon, 2do. dormitorio c/placard y puerta balcon, cocina com;DEPARTAMENTO EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10.073;3/25/14 0:00;2014;mar;casa;Villa Luro;3427407;-34.6381014,-58.5039079;186;186;;;CODIGO: 486003 ubicado en: Escalada 0   Publicado por: PERFORMANCE PROPIEDADES. El precio es de USD 200000. Casa de living comedor, cocina comedor, baÃ±o completo, 4 dormitorios, cuarto de herramientas, terraza y patio. . Publicado a travÃ©s de Mapaprop;Casa en Venta en Villa Luro, Capital Federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10.100;2/20/16 0:00;2016;feb;dto;Villa Pueyrredon;3429703;-34.570884,-58.488694;;70;;1;Maria Cristina Barrionuevo  CUCICBA 6281Contacto: Federico Salem  MLS ID # 420011061134Bucarelli 2160 (entre Mendoza y Olazabal) Piso 8Â° Espectacular dos ambientes de 70m2 totales con balcon aterrazado al frente. Gran cocina con espacio para mesas y sill;Departamento 2 amb de 70m2 GRAN BALCON TERRAZA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10.167;7/21/15 0:00;2015;jul;dto;Congreso;3435259;-34.6092021271,-58.3908891503;62;56;;3;VENTA DEPARTAMENTO DE 3 AMBIENTES APTO PROFESIONAL EN CONGRESOentre Av. Callao y Rodriguez PeÃ±a.Muy buena ubicacion sobre Av. Rivadavia, a metros de Av. Callao, frente a la Plaza del CongresoBuen estado general y muy luminoso. Pisos de parquet. Amplio li;Departamento en Congreso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.203;1/19/16 0:00;2016;ene;dto;Nunez;3430348;-34.55208969,-58.47221756;;60;;4;EXCEPCIONAL SEMIPISO 4 AMB C/DEP.SERV. 3 PATIOS Y COCHERA: Edificio tipico entre medianeras de Planta Baja y 9 Pisos, con 22 Dtos y 2 Dtos en 1Â° y 8Â° Piso y 3 Dptos del 2Â° al 6Â° Piso, mas Porteria y sala de maquinas/ascensor, tanque de agua, y terraza;U$D 218.000 - Departamento en Venta -;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
10.209;10/2/15 0:00;2015;oct;dto;Caballito;3435874;-34.621872,-58.443564;;64;;2;Uno Bienes Raices SRL  CUCICBA 4993Contacto: Agustin Scungio  MLS ID # 4200412126Departamento  contra frente sobre Av. Rivadavia. Excelente ubicacion en Caballito.   Tres ambientes, todos muy luminosos y muy bien distribuidos.   Living comedor amplio, con;Venta Departamento Caballito 3 Amb.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.210;5/1/15 0:00;2015;may;dto;Villa Pueyrredon;3429703;-34.5775329,-58.5030316;;38;2;2;Venta  Departamento  Argentina, Buenos Aires, Capital Federal, Villa Pueyrredon  1 Dormitorios  Apto profesionalEn la mejor zona de Villa Pueyrredon en cercanias a Colegios y la Estacion del tren. Unidades apto profesional. Escritura y posesion inmediatas;Departamento en Venta ubicado en Villa Pueyrredon;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
10.215;4/24/15 0:00;2015;abr;dto;Boedo;3436003;-34.6260681,-58.4202538;25;25;;1;POR $ 6.833. TENE TU DEPA EN BOEDO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.288;12/29/15 0:00;2015;dic;dto;San Telmo;3428113;-34.623148,-58.366848;;33;;1;Venta  Departamento  Argentina, Buenos Aires, Capital Federal, San Telmo  Apto profesionalDEPARTAMENTOSForma de pago: 40% de Anticipo. 15% en 4 refuerzos. Los 4 refuerzos seran actualizados por el INDICE CAC BASE FEBRERO 2016 al momento de pago. 45% en 30;;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
10.311;1/28/16 0:00;2016;ene;dto;Almagro;3436397;-34.6123042,-58.4032943;64;50;;;CODIGO:  1Â° H ubicado en: ALSINA 2600   Publicado por: SALGUERO PROPIEDADES. El precio es de USD 119000. DEPARTAMENTO DE 2 AMBIENTES, UBICADO AL CONTRAFRENTE (DA AL ESTACIONAMIENTO DESCUBIERTO DEL EDIFICIO). COCINA AMPLIA, SEPARADA, CON LAVADERO, AMPLIO;2 ambientes amplios /balcon y patio..excelente estado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.392;10/1/15 0:00;2015;oct;PH;Saavedra;3429422;-34.5453189,-58.4767498;120;80;;;"VENTA DEPARTAMENTO 3 AMBIENTES EN SAAVEDRA Departamento tipo ""PH"" sin expensas. En planta baja: Living comedor. Cocina. BaÃ±o completo. Dormitorio.  Planta alta: Un dormitorio. Cuarto de herramientas y parrilla. Espacio aÃ©reo propio con posibilidad de am";PH EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.428;1/10/16 0:00;2016;ene;dto;Villa General Mitre;3427433;-34.589807,-58.517314;;170;;4;Mariano Aufseher  CUCICBA 4251Contacto: Guillermo Villasanti  MLS ID # 4202510659PH 5 ambientes. sobre Av. San Martin con terraza y parrilla. NO PAGA EXPENSAS. El ph se encuentra ubicado en un primer piso por escalera.  1Â°piso Living amplio con ventanal;PH 5 AMBIENTES CON TERRAZA Y PARRILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.580;2/19/16 0:00;2016;feb;dto;Recoleta;3429595;-34.5994477264,-58.3881927561;;;3;2;Lindo dos ambientes muy bien ubicado a dos cuadras de Av. Santa Fe y a una cuadra de Av. Cordoba. Totalmente externo. Orientacion este. Pisos de parquet.;Venta de departamento 2 ambientes en Recoleta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.628;4/27/15 0:00;2015;abr;dto;Saavedra;3429422;-34.5546456,-58.4935532;40;35;3;;VENTA DEPRTAMENTO 1 AMBIENTE EN SAAVEDRA Emprendimiento desarrollado en el barrio residencial de Saavedra, con numerosos accesos y espacios verdes. Edificio con amenities, entre los que se destacan salon de usos mÃºltiples, piscina, jacuzzi, solarium y pa;DEPARTAMENTO EN VENTA;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
10.771;11/30/15 0:00;2015;nov;dto;Saavedra;3429422;-34.5515556,-58.4938986;38;32;;2;Practico y funcional departamento de 2 ambientes en el tranquilo barrio de Saavedra.Living comedor, cocina separada, baÃ±o completo. Cuenta con 2 equipos de A/A: F/C en dormitorio y Frio en comedor. TambiÃ©n estufa tiro balanceado.Balcon. Ventilado y Lumi;Departamento 2 ambientes en Saavedra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10.799;11/18/15 0:00;2015;nov;dto;Boedo;3436003;-34.6299744,-58.4158898;30;30;;1;c385 DEPA EN CUOTASMUDATE EN 15 MESES  CUOTAS $ 7.581;;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
10.881;2/10/16 0:00;2016;feb;dto;Villa Urquiza;3433775;-34.5753615287,-58.4843156767;41;36;3;1;EVOQUE OLAZABAL, Se alza en emblematica esquina del Barrio de Villa Urquiza, Av. Olazabal y Av. Triunvirato.  A dos cuadras de la estacion de Subte, en pleno corazon comercial entre ambas avenidas. EVOQUE OLAZABAL, posee un Jardin Urbano Ãºnico, una terra;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.939;9/2/15 0:00;2015;sep;dto;Monserrat;3430570;-34.6233199695,-58.3974607122;39;33;;;CODIGO: 3016WP0043 ubicado en: SAN JUAN 2318 9NO E   Publicado por: WAIMAN PROPIEDADES. El precio es de ARS 1315000. NUEVO EMPRENDIMIENTO DEPARTAMENTOS DE 1 AMBIENTE Y ESTUDIOS ENTREGA EN SEPTIEMBRE 2019 . Publicado a travÃ©s de Mapaprop;PROYECTO NUEVO AV SAN JUAN AL 2300;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0
10.958;2/20/16 0:00;2016;feb;dto;Balvanera;6693228;-34.600715,-58.404264;;36;8;1;Luis Varela   3872Contacto: Miguel Halife  MLS ID # 35106182EN NUEVO EDIFICIO A ESTRENAR, SEMIPISOS SOBRE AV. PUEYRREDON, ULTIMAS UNIDADES DE 1 AMBIENTE DIVISIBLE AL FRENTE. INSTALACIÃ“N DE TV. POR CABLE, VENTANAS DE ALUMINIO ANONIZADO, PISOS DE PORCELANA;ULTIMAS UNIDADES DE 1 AMBIENTE DIVISIBLE AL FRENTE;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
100.012;2/26/16 0:00;2016;feb;dto;Villa Pueyrredon;3429703;-34.56633,-58.479707;;131;511;1;Rebeca Stern   4824Contacto: Pablo Canga  MLS ID # 420101066466Martillero Responsable: R. Stern CUCICBA 4824  EMPRENDIMIENTO CASA HO.  HOLMBERG Y NAHUEL HUAPI.  NUEVO BARRIO PARQUE DONADO HOLMBERG.  100% EN PESOS BOLETO 30% (PESOS) SALDO en CUOTAS (PESOS);;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
100.088;1/12/16 0:00;2016;ene;dto;Caballito;3435874;-34.628794,-58.435614;;64;5;2;Patricia M. Sodor   5414Contacto: RubÃ©n Guitar  MLS ID # 29107578Se trata de un semipiso ubicado en un edificio de solo 8 aÃ±os muy bien conservado, es al frente del mismo con orientacion este, lo que nos permite una gran entrada de aire y luz. El depart;VENTA EXCELENTE 3 AMB. C/BALCÃ“N Y COCHERA!!;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100.112;1/15/16 0:00;2016;ene;dto;Belgrano;3436077;-34.5666808,-58.4596522;150;150;;;CODIGO:  ubicado en: Sucre 2900    Publicado por: PAMPA PROPIEDADES. El precio es de USD 380000. A 1 cuadra de Av. Cramer hermoso piso de 4 ambientes + escritorio o cuarto dormitorio. Entrada por palier privado livingcomedor con vistas al frente todo muy;Venta Sucre 2900 Piso de 4 Ambientes, Cochera Doble;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100.128;9/23/15 0:00;2015;sep;PH;Barracas;3436134;-34.650509,-58.385277;;;;3;Venta  Departamento  Argentina, Buenos Aires, Capital Federal, Barracas  2 DormitoriosPH. de 3 Ambientes con Patio y Terraza Propia con Quincho Cerrado y Parrilla. Luminoso.Ubicado a Tres Cuadras del Parque Leonardo Pereyra. SIN EXPENSAS.  CUCICBA Mat. 25;Departamento en Venta ubicado en Barracas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
100.140;10/26/15 0:00;2015;oct;dto;Balvanera;6693228;-34.622826,-58.392291;;37;;1;Juan Carlos Treco  CUCICBA 4037Contacto: Juan Pablo Esnal  MLS ID # 4202210585Amplio Monoambiente con cocina integrada, placard, balcon al contrafrente, baÃ±o completo, piso flotante, carpinterias de aluminio con doble vidrio hermÃ©tico y mobiliarios de c;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
100.265;12/2/14 0:00;2014;dic;local;Centro / Microcentro;3435548;-34.609379,-58.3777999;1000;1000;;;LOCALVENTA LOCAL COMERCIAL  Excelente local comercial en esquina con amplias vidrieras  El local posee en planta de 500 m2 mas 500 m2 de sotano. Cuenta con baÃ±os dama, caballeros y para personal, oficinas, probadores y patio en la planta baja, en el 1Âº;LOCAL EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
100.266;11/6/15 0:00;2015;nov;local;Villa Crespo;3427458;-34.6009232,-58.4404738;203;203;;;LOCALVENTA LOCAL VILLA CRESPO Local de 202.59 m2 con patio emplazado en excelente zona sobre Av. Scalabrini Ortiz a una cuadra de avenidas Warnes y Corrientes respectivamente. Posee dos toilettes. LEPORE PROPIEDADES      LEPORE PROPIEDADES;LOCAL EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
100.308;2/9/16 0:00;2016;feb;dto;Barrio Norte;3436109;-34.5965747,-58.3918534;37;33;4;1;Venta de Departamento 1 AMBIENTE en Barrio Norte Rodriguez PeÃ±a Y Av. Santa Fe, Barrio Norte. Excelente ambiente. UNIDAD AL FRENTE MUY LUMINOSO, servicios centrales. El edificio  se encuentra en excelente estado, la antigÃ_edad es de 15 aÃ±os, Amenities:;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
100.416;7/18/15 0:00;2015;jul;dto;Belgrano;3436077;-34.5739694,-58.4427653;30;28;1;1;DEPARTAMENTO MONOAMBIENTE EN BELGRANO EN VENTA APTO CREDITO.  Departamento monoambiente en impecable estado con baÃ±o y cocina completa, pisos nuevos de ceramica, aire acondicionado frio/calor, incluye  cochera descubierta.  El departamento cuenta con ren;DEPARTAMENTO EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
100.463;11/14/14 0:00;2014;nov;PH;Villa General Mitre;3427433;-34.605537,-58.486598;;195;;3;Ricardo Demichelli  CUCICBA 1104Contacto: Nidia Yomayusa Martinez  MLS ID # 341132184Excelente ph de 4 ambientes en Planta Baja con espacio aereo propio, no paga expensas, ubicado sobre la Avenida Nazca, esta ubicado sobre un terreno que cuenta con 3 unid;PH 4 ambientes terraza, quincho, patio sin expensa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100.524;5/1/15 0:00;2015;may;dto;Coghlan;3435359;-34.5618075,-58.4674306;;31;5;1;Venta  Departamento  Argentina, Buenos Aires, Capital Federal, Coghlan  Apto profesionalEdificio Q14. Preventa en pozo. Forma de pago: al boleto 50%, el 30% en 12 cuotas ajustables y el 20% restante en 3 refuerzos, siendo todos los pagos (excepto boleto);Departamento en Venta ubicado en Coghlan;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
100.561;7/4/15 0:00;2015;jul;dto;Saavedra;3429422;-34.54842,-58.4818094;107;88;;4;Excelente PH de cuatro ambientes. SaavedraAmplio living comedor con pisos de granito, hall de distribucion y acceso a dos amplios dormitorios con salida a  balcon corrido al frente. Tercer dormitorio con pisos de madera y  placard. BaÃ±o completo.Cocina c;Departamento en Saavedra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
100.655;2/11/15 0:00;2015;feb;local;Almagro;3436397;-34.6036694,-58.4210052;170;;;;LOCALVENTA LOCAL ALMAGRO. LOCAL COMERCIAL EN AVDA MEDRANO 500 ENTRE CORRIENTES Y SARMIENTO, MUY COMERCIAL,   Se deja constancia que las medidas, superficies, m2 son aproximados,  sujeto a verificacion y/o ajuste. El precio del inmueble puede ser modificad;LOCAL EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100.780;1/9/16 0:00;2016;ene;dto;Belgrano;3436077;-34.5562825,-58.4790126;45;37;5;;Venta de MONOAMBIENTE con RENTA en NuÃ±ez  DESCRIPCIÃ“N: EXCELENTE A ESTRENAR. SUM.  LAUNDRY. PARRILLA.  PISOS FLOTANTES.  MUY LUMINOSO.  VENTA CON EXCELENTE RENTA $4.200.    LOUNGE PROPIEDADES;DEPARTAMENTO EN VENTA;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
